time,id,programID,phase,state
168.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
169.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
170.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
171.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
172.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
173.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
174.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
175.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
176.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
177.00,n1,0,3,rrrrryyyyyrrrrryyyyy
178.00,n1,0,3,rrrrryyyyyrrrrryyyyy
179.00,n1,0,3,rrrrryyyyyrrrrryyyyy
180.00,n1,0,0,GGGggrrrrrGGGggrrrrr
181.00,n1,0,0,GGGggrrrrrGGGggrrrrr
182.00,n1,0,0,GGGggrrrrrGGGggrrrrr
183.00,n1,0,0,GGGggrrrrrGGGggrrrrr
184.00,n1,0,0,GGGggrrrrrGGGggrrrrr
185.00,n1,0,0,GGGggrrrrrGGGggrrrrr
186.00,n1,0,0,GGGggrrrrrGGGggrrrrr
187.00,n1,0,0,GGGggrrrrrGGGggrrrrr
188.00,n1,0,0,GGGggrrrrrGGGggrrrrr
189.00,n1,0,0,GGGggrrrrrGGGggrrrrr
190.00,n1,0,0,GGGggrrrrrGGGggrrrrr
191.00,n1,0,0,GGGggrrrrrGGGggrrrrr
192.00,n1,0,0,GGGggrrrrrGGGggrrrrr
193.00,n1,0,0,GGGggrrrrrGGGggrrrrr
194.00,n1,0,0,GGGggrrrrrGGGggrrrrr
195.00,n1,0,0,GGGggrrrrrGGGggrrrrr
196.00,n1,0,0,GGGggrrrrrGGGggrrrrr
197.00,n1,0,0,GGGggrrrrrGGGggrrrrr
198.00,n1,0,0,GGGggrrrrrGGGggrrrrr
199.00,n1,0,0,GGGggrrrrrGGGggrrrrr
200.00,n1,0,0,GGGggrrrrrGGGggrrrrr
201.00,n1,0,0,GGGggrrrrrGGGggrrrrr
202.00,n1,0,0,GGGggrrrrrGGGggrrrrr
203.00,n1,0,0,GGGggrrrrrGGGggrrrrr
204.00,n1,0,0,GGGggrrrrrGGGggrrrrr
205.00,n1,0,0,GGGggrrrrrGGGggrrrrr
206.00,n1,0,0,GGGggrrrrrGGGggrrrrr
207.00,n1,0,0,GGGggrrrrrGGGggrrrrr
208.00,n1,0,0,GGGggrrrrrGGGggrrrrr
209.00,n1,0,0,GGGggrrrrrGGGggrrrrr
210.00,n1,0,0,GGGggrrrrrGGGggrrrrr
211.00,n1,0,0,GGGggrrrrrGGGggrrrrr
212.00,n1,0,0,GGGggrrrrrGGGggrrrrr
213.00,n1,0,0,GGGggrrrrrGGGggrrrrr
214.00,n1,0,0,GGGggrrrrrGGGggrrrrr
215.00,n1,0,0,GGGggrrrrrGGGggrrrrr
216.00,n1,0,0,GGGggrrrrrGGGggrrrrr
217.00,n1,0,0,GGGggrrrrrGGGggrrrrr
218.00,n1,0,0,GGGggrrrrrGGGggrrrrr
219.00,n1,0,0,GGGggrrrrrGGGggrrrrr
220.00,n1,0,0,GGGggrrrrrGGGggrrrrr
221.00,n1,0,0,GGGggrrrrrGGGggrrrrr
222.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
223.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
224.00,n1,0,1,yyyyyrrrrryyyyyrrrrr
225.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
226.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
227.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
228.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
229.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
230.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
231.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
232.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
233.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
234.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
235.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
236.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
237.00,n1,0,2,rrrrrGGGggrrrrrGGGgg
